Method,σ / noise_mult,clip_norm,ε,ε (final epoch),PR-AUC,PR-AUC_lo,PR-AUC_hi,prevalence,AUROC,AUROC_lo,AUROC_hi,F1,FPR@95TPR,MSE(normal),recall_fuzzy,recall_plateau,AUROC_fuzzy,AUROC_plateau,MI-AUC,MI-AUC_lo,MI-AUC_hi,MI-AUC_eff,MI-AUC_eff_lo,MI-AUC_eff_hi
Output,0.049999999999999996,,638013.9602203155,,0.09129774130807206,0.07239992190476992,0.11853043774085986,0.049994521148367305,0.6782732967367642,0.6222422891551889,0.6960595656516093,0.14795348134722852,0.8549842844372675,0.8365029692649841,0.9611859838274932,0.3710306406685237,0.8511158947261326,0.49965323029092684,0.35964564381865005,0.3089960395564936,0.47107594966276667,0.64035435618135,0.5294222643114291,0.6910039604435064
Output (last-layer),0.0001,,9021158723.580276,,0.6121122452031563,0.5018145983759276,0.6829123430824856,0.049994521148367305,0.9039954344483081,0.8487095295712574,0.9183220975042946,0.3651367993398083,0.5545430952449609,0.013028937391936779,1.0,0.5688022284122562,0.9993045963561533,0.8055004509725127,0.7046064408886779,0.5273472390267426,0.7651342069573862,0.7046064408886779,0.5335973479030406,0.7651342069573862
Output (last-layer),0.00017593850992600728,,2914526853.0966244,,0.6121173841429229,0.5018330596054652,0.6829199689570903,0.049994521148367305,0.9040149816299549,0.848722042623438,0.9183517806668784,0.3652063492063492,0.5545430952449609,0.01302835252135992,1.0,0.5688022284122562,0.9993046818534158,0.8055401103683838,0.7049284072867446,0.5275117734042094,0.7656576437147798,0.7049284072867446,0.5336418073114466,0.7656576437147798
Output (last-layer),0.00030954359274983735,,941661293.1444879,,0.6121240884137675,0.5018331449228651,0.682937166838412,0.049994521148367305,0.9040452770951747,0.848741511578148,0.9184032939213831,0.3660965024253255,0.5545863490873439,0.013027687557041645,1.0,0.5643454038997214,0.9993047207158079,0.8056016737991997,0.7054579439990973,0.5276407849970446,0.7665296912798752,0.7054579439990973,0.5336572827598257,0.7665296912798752
Output (last-layer),0.0005446063846554921,,304269328.8296942,,0.6121416124123004,0.5018538805225309,0.6829641194303947,0.049994521148367305,0.9040940769096769,0.8487309829248653,0.9184960861321685,0.36579148610757073,0.554370079875429,0.01302766427397728,1.0,0.5654596100278552,0.9993048450754626,0.8057007761032522,0.7063819391116237,0.5282979663926467,0.7679886259051226,0.7063819391116237,0.5342954763567257,0.7679886259051226
Output (last-layer),0.0009581723581247715,,98330070.2586797,,0.6121612258282763,0.5018704169078708,0.6830181442133446,0.049994521148367305,0.9042112079198379,0.8487666487719959,0.9186860879039794,0.3665878443152042,0.553245479973471,0.01303115300834179,1.0,0.5643454038997214,0.9993048994828114,0.8059388971402743,0.707816178259334,0.529281209853622,0.7706746316608211,0.707816178259334,0.5343428376272499,0.7706746316608211
Output (last-layer),0.0016857941694076093,,31785444.88495983,,0.6122141771244706,0.5019441741225197,0.6831149398282947,0.049994521148367305,0.9044376802984081,0.8487106798144738,0.9190468027861642,0.36743349183909524,0.5570374001557138,0.013048231601715088,1.0,0.5593314763231197,0.9993051482021208,0.80639915497173,0.7093488852649811,0.5274385609505118,0.7741566669609299,0.7093488852649811,0.532298503622871,0.7741566669609299
Output (last-layer),0.0029659611420752587,,10279456.11761002,,0.6122970496646452,0.501967631311116,0.6832775202557223,0.049994521148367305,0.9048271209096974,0.8485501839103776,0.9196602622663841,0.37072080951442277,0.5571094898930188,0.013112138956785202,1.0,0.5381615598885794,0.9993055329398024,0.8071906561097839,0.7131040128776842,0.5263198725733836,0.780745751630946,0.7131040128776842,0.5313000205360234,0.780745751630946
Output (last-layer),0.0052182678383515925,,3327076.9019714706,,0.6123852227593579,0.5021003312616028,0.6834972063473838,0.049994521148367305,0.9047100590266819,0.8478077868749725,0.919784344893942,0.3719339777733938,0.5454742062919923,0.013329390436410904,1.0,0.5420612813370473,0.999306236349099,0.8069518924901451,0.7219542341940248,0.5264585386545338,0.7936580023009999,0.7219542341940248,0.5286765902935973,0.7936580023009999
Output (last-layer),0.009180942678743854,,1078376.1196626583,,0.6122534025608244,0.5021532858874058,0.683528303236574,0.049994521148367305,0.901580736358153,0.8460506076337605,0.9162487745947285,0.3825786380919461,0.5083191556849966,0.01403606217354536,1.0,0.5080779944289694,0.999307246771293,0.8005876016415093,0.740071213588364,0.5269559977166589,0.8181121967657732,0.740071213588364,0.530645932419973,0.8181121967657732
Output (last-layer),0.016152813746142795,,350389.6816472318,,0.6118843838336441,0.5024575816870669,0.6835898048253267,0.049994521148367305,0.8964270686890767,0.8437371550937105,0.910307880555727,0.3874494214524029,0.6000749733267972,0.016283655539155006,1.0,0.486908077994429,0.999307938521872,0.7901072839872187,0.7637873957345109,0.5300415786429616,0.8520594651515592,0.7637873957345109,0.5334612727571458,0.8520594651515592
Output (last-layer),0.02841901981608691,,114339.73570594192,,0.6062746129376231,0.5011961062966552,0.6754896060281445,0.049994521148367305,0.8773363395082965,0.8323870973017284,0.8885459306405624,0.40096400060250037,0.7069696358026472,0.02334674820303917,1.0,0.44958217270194983,0.9993057661141548,0.7512899404253625,0.7101740029994864,0.5241739316893939,0.7794274066699604,0.7101740029994864,0.5269765941054197,0.7794274066699604
Output (last-layer),0.049999999999999996,,37588.19523828663,,0.5933180949554278,0.4977086567273217,0.6540010026391879,0.049994521148367305,0.8420519563574655,0.8158850056610396,0.8520671041688515,0.38719090769467057,0.7505695089247095,0.04539625346660614,1.0,0.3710306406685237,0.9992905670326131,0.6795574589745135,0.6266993143453943,0.5092620567543303,0.6633452332198382,0.6266993143453943,0.5146606842015276,0.6633452332198382
DP-SGD (fixed-clip baseline),1.0,0.5,0.0945344442768506,0.16980011016107,0.21802549819759054,0.106054078072108,0.43139334954602726,0.049994521148367305,0.8001222049426304,0.7225298872648356,0.8193774177068012,0.4504672897196262,0.6939934830877477,0.12016094475984573,0.9865229110512129,0.05459610027855153,0.9720473112315656,0.6224502984434802,0.5663072453839693,0.4266905666333238,0.6416453254358429,0.5663072453839693,0.5178970497233764,0.6416453254358429
DP-SGD (fixed-clip baseline),2.0,0.5,0.0496775397715324,0.0759734184284324,0.18878855754718446,0.09613312021044329,0.34555245378937355,0.049994521148367305,0.7870615354047512,0.6999393075273781,0.8085691945196539,0.4095453079651725,0.7047348539461922,0.14637263119220734,0.9714285714285714,0.05738161559888579,0.9637794616765905,0.6044366032408173,0.5615851341196345,0.40027635207996276,0.660317764489148,0.5615851341196345,0.5119692422985389,0.6655045091493956
DP-SGD (fixed-clip baseline),1.0,1.0,0.1137265974969578,0.1811186452612219,0.21614193797233186,0.10823891515439091,0.4127137346211678,0.049994521148367305,0.8001264928007041,0.7213932452523677,0.8198188326374607,0.45067078238157426,0.6880821246287379,0.11764927208423615,0.9752021563342318,0.04958217270194986,0.9713412087711796,0.6231887222573991,0.5669568084091687,0.4317706736124061,0.6427833228303736,0.5669568084091687,0.517726689425027,0.6427833228303736
DP-SGD (fixed-clip baseline),2.0,1.0,0.0496775397715324,0.0759734184284324,0.1990873242229972,0.10218827717629964,0.36472916557850754,0.049994521148367305,0.7874676613338695,0.7077729485723865,0.8067483943600685,0.4345070422535211,0.7355171717754261,0.14859327673912048,0.9477088948787062,0.05181058495821727,0.9673832839949358,0.6015381459933246,0.5824995110890008,0.3977694750008578,0.6726528314011314,0.5824995110890008,0.5271631006300734,0.6743724748647211
DP-SGD (fixed-clip baseline),1.0,5.0,0.16980011016107,0.2208494280511682,0.2017149363759374,0.10007023047915703,0.3980776074784168,0.049994521148367305,0.7871663203067507,0.7069824726039264,0.8064119988754866,0.43154362416107384,0.7158799273335448,0.14730553328990936,0.984366576819407,0.05738161559888579,0.9682166763343345,0.6000641417935654,0.5863131738826447,0.4180310911500244,0.677176434920329,0.5863131738826447,0.5298571606217339,0.677176434920329
DP-SGD (fixed-clip baseline),2.0,5.0,0.0801287544073054,0.0982628225275299,0.16583230484575867,0.08520011099853934,0.3369565075722992,0.049994521148367305,0.7706164502065321,0.6736828113370923,0.7944277124391584,0.37155155546859714,0.7533377548372213,0.2042626589536667,0.9574123989218328,0.06852367688022284,0.9546496092891689,0.5804317649150053,0.5844036055983015,0.3974151215674447,0.708201979929779,0.5844036055983015,0.5247243283699798,0.708201979929779
Personalized,v1:0.104 | v2:0.097 | v3:0.056,,,,0.21503404810430413,0.10769965807498816,0.38432105079942375,0.049994521148367305,0.8596308551185887,0.731557290302934,0.8948657013941047,0.2772561173042231,0.5732431731018772,0.08464649319648743,1.0,0.6362116991643454,0.9644630394945277,0.7512945308749299,0.6708138886738396,0.46968427813661323,0.7372147971142364,0.6708138886738396,0.5187579039310597,0.7372147971142364
